,Unnamed: 0,Unnamed: 0.1,price_close,price_high,price_low,price_open,time_close,time_open,time_period_end,time_period_start,trades_count,volume_traded
25,25,25,873.28482,873.28482,873.28482,873.28482,2014-01-07T20:13:32.0000000Z,2014-01-07T20:13:32.0000000Z,2014-01-07T20:14:00.0000000Z,2014-01-07T20:13:00.0000000Z,1,0.00842141
26,26,26,862.83156,862.83156,862.83156,862.83156,2014-01-07T20:43:54.0000000Z,2014-01-07T20:43:54.0000000Z,2014-01-07T20:44:00.0000000Z,2014-01-07T20:43:00.0000000Z,1,0.05
27,27,27,862.83156,862.83156,862.83156,862.83156,2014-01-07T20:44:56.0000000Z,2014-01-07T20:44:01.0000000Z,2014-01-07T20:45:00.0000000Z,2014-01-07T20:44:00.0000000Z,11,0.513324
28,28,28,862.83156,862.83156,862.83156,862.83156,2014-01-07T20:45:10.0000000Z,2014-01-07T20:45:04.0000000Z,2014-01-07T20:46:00.0000000Z,2014-01-07T20:45:00.0000000Z,2,0.02682169
29,29,29,854.27453,862.82156,854.27453,862.82156,2014-01-07T20:46:10.0000000Z,2014-01-07T20:46:02.0000000Z,2014-01-07T20:47:00.0000000Z,2014-01-07T20:46:00.0000000Z,2,0.02180284
30,30,30,871.26595,871.26595,862.72839,862.72839,2014-01-07T20:53:50.0000000Z,2014-01-07T20:53:39.0000000Z,2014-01-07T20:54:00.0000000Z,2014-01-07T20:53:00.0000000Z,2,0.02148321
31,31,31,854.09013,862.6353,854.09013,862.6353,2014-01-07T20:56:39.0000000Z,2014-01-07T20:56:29.0000000Z,2014-01-07T20:57:00.0000000Z,2014-01-07T20:56:00.0000000Z,2,0.02180648
32,32,32,830.0,845.62959,830.0,845.62959,2014-01-07T21:24:58.0000000Z,2014-01-07T21:24:44.0000000Z,2014-01-07T21:25:00.0000000Z,2014-01-07T21:24:00.0000000Z,3,0.0340253
33,33,33,845.5382900000002,845.5382900000002,835.0,835.0,2014-01-07T21:29:10.0000000Z,2014-01-07T21:29:00.0000000Z,2014-01-07T21:30:00.0000000Z,2014-01-07T21:29:00.0000000Z,2,0.04087784
34,34,34,837.16249,837.16249,829.0,829.0,2014-01-07T21:30:55.0000000Z,2014-01-07T21:30:55.0000000Z,2014-01-07T21:31:00.0000000Z,2014-01-07T21:30:00.0000000Z,2,0.66408
35,35,35,828.8797099999998,828.8797099999998,828.8697099999998,828.8697099999998,2014-01-07T21:49:58.0000000Z,2014-01-07T21:49:58.0000000Z,2014-01-07T21:50:00.0000000Z,2014-01-07T21:49:00.0000000Z,2,0.63205379
36,36,36,827.0,827.0,825.0,825.0,2014-01-07T21:51:57.0000000Z,2014-01-07T21:51:27.0000000Z,2014-01-07T21:52:00.0000000Z,2014-01-07T21:51:00.0000000Z,5,0.1412376
37,37,37,825.0,825.0,825.0,825.0,2014-01-07T21:52:30.0000000Z,2014-01-07T21:52:12.0000000Z,2014-01-07T21:53:00.0000000Z,2014-01-07T21:52:00.0000000Z,3,0.12618779
38,38,38,820.65901,825.0,820.0,824.0,2014-01-07T21:53:14.0000000Z,2014-01-07T21:53:14.0000000Z,2014-01-07T21:54:00.0000000Z,2014-01-07T21:53:00.0000000Z,4,0.45432
39,39,39,828.85,828.85,828.78026,828.78026,2014-01-07T21:58:48.0000000Z,2014-01-07T21:58:38.0000000Z,2014-01-07T21:59:00.0000000Z,2014-01-07T21:58:00.0000000Z,2,0.06098792
